Cc1c(OCc2ccccc2)cccc1B(O)O ZINC001083104351
OB(O)c1cccc(OCc2ccccc2)c1 ZINC000169743219
COc1cccc(B(O)O)c1 ZINC000169743265
OB(O)c1ccc2c(c1)OCO2 ZINC000169743266
OB(O)c1cccc(OC(F)(F)F)c1 ZINC000169743274
COc1cc(B(O)O)cc(OC)c1OC ZINC000169743278
COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1O ZINC000169743295
COc1ccc(B(O)O)cc1OC ZINC000169743313
COc1cncc(B(O)O)c1 ZINC000169743440
COc1cc(B(O)O)cc(C(F)(F)F)c1 ZINC000169743455
N#CCOc1cccc(B(O)O)c1 ZINC000169743463
CCOc1cccc(B(O)O)c1 ZINC000169743510
COc1cc(B2OC(C)(C)C(C)(C)O2)cc(Cl)c1O ZINC000169743568
COC(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1OC ZINC000169743605
COC(=O)c1ccc(B(O)O)cc1OC ZINC000169743636
COc1nccc(B(O)O)c1Cl ZINC000169743655
COc1cc(B(O)O)ccn1 ZINC000169743670
OB(O)c1ccc2c(c1)OCCCO2 ZINC000169743687
CN1CCOc2cc(B3OC(C)(C)C(C)(C)O3)ccc21 ZINC000169743688
CN1CCOc2cc(B3OC(C)(C)C(C)(C)O3)cnc21 ZINC000169743728
CC1(C)OB(c2ccc3c(c2)OCCO3)OC1(C)C ZINC000169743741
CC(C)Oc1cc(F)cc(B(O)O)c1 ZINC000169743995
CC1(C)OB(c2cccc(OCC#N)c2)OC1(C)C ZINC000169744864
COc1cc(Cl)cc(B(O)O)c1 ZINC000169744898
COc1cc(B(O)O)ccc1C ZINC000169744957
COc1cc(B(O)O)ccc1Cl ZINC000169745108
COc1cc(B(O)O)ccc1F ZINC000169745109
OB(O)c1cccc(OCC(F)(F)F)c1 ZINC000169745145
COc1cccc(B2OC(C)(C)C(C)(C)O2)c1Cl ZINC000169745163
COc1cc(B(O)O)cc(F)c1F ZINC000169745262
CCOc1cc(F)cc(B(O)O)c1 ZINC000169745310
COc1cc(B(O)O)ccc1OCc1ccccc1 ZINC000169745321
COc1cc(B(O)O)ccc1O[Si](C)(C)C(C)(C)C ZINC000169745400
COc1cc(OC)cc(B(O)O)c1 ZINC000169745424
OB(O)c1cc(F)cc(OCc2ccccc2)c1 ZINC000169745506
COc1cc(F)cc(B(O)O)c1 ZINC000169745533
COc1ccc(COc2cc(B(O)O)cc(C(F)(F)F)c2)cc1 ZINC000169745554
CC(C)COc1cc(F)cc(B(O)O)c1 ZINC000169745609
CC(C)Oc1cccc(B(O)O)c1 ZINC000169745639
CCOc1cc(B(O)O)cc(C(F)(F)F)c1 ZINC000169745648
O=C(O)COc1cc(F)cc(B(O)O)c1 ZINC000169745702
COc1nccc(B2OC(C)(C)C(C)(C)O2)c1Cl ZINC000169745947
COc1c(Cl)ccc(B(O)O)c1F ZINC000169746177
OB(O)c1cc(Br)cc2c1OCO2 ZINC000169746242
CC(C)COc1cc(Br)cc(B(O)O)c1 ZINC000169746247
CC1(C)OB(c2cc(Br)cc3c2OCO3)OC1(C)C ZINC000169746278
CC(C)COc1cc(Br)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169746287
CC1(C)OB(c2cc(Br)cc(OCC3CC3)c2)OC1(C)C ZINC000169746288
CCOc1cc(Br)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169746314
CC(C)Oc1cc(Br)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169746315
CCCCOc1cc(Br)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169746316
CC(=O)c1cc2c(c(B3OC(C)(C)C(C)(C)O3)c1)OCO2 ZINC000169746349
COC(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1OC(C)=O ZINC000169746363
Cc1cc(OCC2CC2)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169746401
COc1c(Cl)ccc(B(O)O)c1Cl ZINC000169746408
OB(O)c1ccc2c(c1)OC(F)(F)O2 ZINC000169746429
COc1c(F)ccc(B(O)O)c1F ZINC000169746439
COc1cccc(B(O)O)c1OC ZINC000169746458
COc1cc(B2OC(C)(C)C(C)(C)O2)cc(C)c1C ZINC000169746472
CCOc1ccc(B(O)O)cc1OC ZINC000169746500
CCOc1cc(B(O)O)ccc1OC ZINC000169746501
CC(C)COc1cccc(B(O)O)c1F ZINC000169746524
